method,regime,num_cycles,density,samp_size,seed,d,num_nodes,threshold,ari_scc,fscore,var_precision,var_recall,var_fscore,var_shd,inter_scc_precision,inter_scc_recall,inter_scc_fscore,chosen_threshold,chosen_beta,bic_score,runtime_sec,num_sccs,max_scc_size,num_nontrivial,frac_nontrivial,has_cycles,num_parts_est
disjointcycles,hard,5,0.5,1000,7,20,20,,0.0,0.0,1.0,0.0,0.0,99,1.0,0.0,0.0,,,,1.4185273589100689,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,1000,8,20,20,,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,,,,1.2619917350821197,7,6,5,0.9,1,20
disjointcycles,hard,5,0.5,1000,9,20,20,,0.0,0.0,1.0,0.0,0.0,93,1.0,0.0,0.0,,,,1.2014841558411715,11,4,5,0.7,1,20
disjointcycles,hard,5,0.5,5000,0,20,20,,0.0355329949238578,0.5384615384615384,0.4069767441860465,0.3465346534653465,0.374331550802139,117,0.3902439024390244,0.3595505617977528,0.3742690058479532,,,,5.762894314015284,13,3,5,0.6,1,12
disjointcycles,hard,5,0.5,5000,1,20,20,,0.1646244774398154,0.78125,0.5,0.2980769230769231,0.3734939759036144,104,0.5084745762711864,0.3409090909090909,0.4081632653061224,,,,4.81377898203209,9,6,5,0.8,1,9
disjointcycles,hard,5,0.5,5000,2,20,20,,0.0481992959653398,0.4363636363636364,0.4736842105263157,0.1666666666666666,0.2465753424657534,110,0.5714285714285714,0.1720430107526881,0.2644628099173554,,,,4.5242816938553005,10,4,5,0.75,1,4
disjointcycles,hard,5,0.5,5000,3,20,20,,-0.018808777429467,0.40625,0.328125,0.2121212121212121,0.2576687116564417,121,0.3103448275862069,0.216867469879518,0.2553191489361702,,,,5.022867275169119,9,4,5,0.8,1,9
disjointcycles,hard,5,0.5,5000,4,20,20,,0.1578588475963177,0.6285714285714286,0.5205479452054794,0.3877551020408163,0.4444444444444444,95,0.5,0.3928571428571428,0.44,,,,4.998882342828438,11,4,5,0.7,1,9
disjointcycles,hard,5,0.5,5000,5,20,20,,0.0229885057471264,0.2641509433962263,0.3684210526315789,0.0619469026548672,0.106060606060606,118,0.375,0.0612244897959183,0.1052631578947368,,,,3.2874848709907383,10,5,5,0.75,1,2
disjointcycles,hard,5,0.5,5000,6,20,20,,0.1020428905376562,0.4363636363636364,0.3809523809523809,0.1666666666666666,0.2318840579710145,106,0.3714285714285714,0.1625,0.2260869565217391,,,,4.816045903135091,9,5,5,0.8,1,5
disjointcycles,hard,5,0.5,5000,7,20,20,,0.0489164871372449,0.5925925925925927,0.4745762711864407,0.2828282828282828,0.3544303797468354,102,0.490566037735849,0.3058823529411765,0.3768115942028985,,,,4.583137448877096,11,4,5,0.7,1,6
disjointcycles,hard,5,0.5,5000,8,20,20,,0.119268353796041,0.5882352941176471,0.5087719298245614,0.2929292929292929,0.3717948717948718,98,0.52,0.3209876543209876,0.3969465648854962,,,,3.558015271788463,7,6,5,0.9,1,2
disjointcycles,hard,5,0.5,5000,9,20,20,,0.03710407239819,0.34375,0.3142857142857143,0.1182795698924731,0.171875,106,0.28125,0.1139240506329113,0.1621621621621621,,,,3.210597714176401,11,4,5,0.7,1,5
disjointcycles,hard,5,0.5,10000,0,20,20,,0.603836530442035,0.3714285714285714,0.9411764705882352,0.3168316831683168,0.4740740740740741,71,0.9285714285714286,0.2921348314606741,0.4444444444444443,,,,10.045763190137222,13,3,5,0.6,1,17
disjointcycles,hard,5,0.5,10000,1,20,20,,0.3625052425555711,0.8787878787878787,0.5888888888888889,0.5096153846153846,0.5463917525773195,88,0.5853658536585366,0.5454545454545454,0.5647058823529411,,,,6.843419067095965,9,6,5,0.8,1,7
disjointcycles,hard,5,0.5,10000,2,20,20,,0.0653488582001985,0.4230769230769231,0.5,0.1574074074074074,0.2394366197183098,108,0.6,0.1612903225806451,0.2542372881355932,,,,7.362855108920485,10,4,5,0.75,1,4
disjointcycles,hard,5,0.5,10000,3,20,20,,0.0,0.36,0.45,0.0909090909090909,0.1512605042016806,101,0.4444444444444444,0.0963855421686747,0.1584158415841584,,,,2.929522919934243,9,4,5,0.8,1,1
disjointcycles,hard,5,0.5,10000,4,20,20,,0.0886877828054298,0.5,0.5641025641025641,0.2244897959183673,0.3211678832116788,93,0.5588235294117647,0.2261904761904762,0.3220338983050847,,,,7.276620815973729,11,4,5,0.7,1,5
disjointcycles,hard,5,0.5,10000,5,20,20,,0.0,0.2592592592592592,0.25,0.0442477876106194,0.075187969924812,123,0.1764705882352941,0.0306122448979591,0.0521739130434782,,,,3.2772707659751177,10,5,5,0.75,1,1
