regime,n,seed,ica_runtime_sec,W_hash,method,draw,status,selection_runtime_sec,total_runtime_sec,ari,exact,partition_exact,threshold_w_used,enumeration_cap_hit,enumeration_timed_out,chosen_is_stable,enumeration_runtime_sec,enumeration_rounds,n_candidates_enumerated,n_stable_candidates,permutation_admissible,min_abs_selected_diagonal
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,arbitrary_control,0,ok,7.754197577014565e-05,0.014924666960723698,0.0,0.0,0.0,,False,False,,,,,,False,0.0003395005381978982
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,arbitrary_control,1,ok,5.0125003326684237e-05,0.014897249988280237,0.0,0.0,0.0,,False,False,,,,,,False,0.0018762654632409248
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,arbitrary_control,2,ok,4.016701132059097e-05,0.014887291996274143,0.0,0.0,0.0,,False,False,,,,,,False,0.0032242737611005807
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,arbitrary_control,3,ok,3.2790994737297297e-05,0.01487991597969085,0.0,0.0,0.0,,False,False,,,,,,False,0.0008996964949529946
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,arbitrary_control,4,ok,5.1166978664696217e-05,0.014898291963618249,0.0,0.0,0.0,,False,False,,,,,,False,0.0019506497422081923
hard,10000,4,0.014847124984953552,e76424c5e837a76b833a120515889315e3275854ad570df3d07665497e1bc328,ours,0,ok,4.862499190494418e-05,0.014895749976858497,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,arbitrary_control,0,ok,8.970900671556592e-05,0.017630833957809955,0.0,0.0,0.0,,False,False,,,,,,False,0.00028456470365612453
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,arbitrary_control,1,ok,5.058303941041231e-05,0.0175917079905048,0.0,0.0,0.0,,False,False,,,,,,False,0.00032112137813125363
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,arbitrary_control,2,ok,3.187498077750206e-05,0.01757299993187189,0.0,0.0,0.0,,False,False,,,,,,False,0.0010294930209980744
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,arbitrary_control,3,ok,2.929195761680603e-05,0.017570416908711195,0.0,0.0,0.0,,False,False,,,,,,False,0.0010294930209980744
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,arbitrary_control,4,ok,4.754198016598821e-05,0.017588666931260377,0.0,0.0,0.0,,False,False,,,,,,False,0.00032112137813125363
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,ours,0,ok,4.374998388811946e-05,0.01758487493498251,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_first_stable,0,ok,2.721052666020114,2.7385937909712084,1.0,1.0,1.0,0.1,False,False,True,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_uniform_random,0,ok,2.72109529201407,2.7386364169651642,1.0,1.0,1.0,0.1,False,False,False,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_uniform_random,1,ok,2.72106241597794,2.7386035409290344,1.0,1.0,1.0,0.1,False,False,False,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_uniform_random,2,ok,2.721058292023372,2.7385994169744663,1.0,1.0,1.0,0.1,False,False,False,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_uniform_random,3,ok,2.721057542017661,2.7385986669687554,0.24227318045862412,0.0,0.0,0.1,False,False,False,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,5,0.01754112495109439,052964345cc9302e84a9bb9f5582f2531b624b1486f44e6f1479a8bec0c4c850,enum_uniform_random,4,ok,2.7210605409927666,2.738601665943861,0.24227318045862412,0.0,0.0,0.1,False,False,False,2.7210418329923414,"[{'threshold': 0.1, 'n_candidates_enumerated': 2016, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",2016.0,1.0,,
hard,10000,6,0.014255375019274652,a5c9b2a78b0f35a4b5210b5ed08163405dfbc4adc7c267eac15819a1e20496b3,ours,0,ok,6.754201604053378e-05,0.014322917035315186,1.0,1.0,1.0,0.1,False,False,,,,,,,
hard,10000,6,0.014255375019274652,a5c9b2a78b0f35a4b5210b5ed08163405dfbc4adc7c267eac15819a1e20496b3,enum_first_stable,0,ok,2.288938749989029,2.3031941250083037,1.0,1.0,1.0,0.1,False,False,True,2.288926250010263,"[{'threshold': 0.1, 'n_candidates_enumerated': 960, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",960.0,1.0,,
hard,10000,6,0.014255375019274652,a5c9b2a78b0f35a4b5210b5ed08163405dfbc4adc7c267eac15819a1e20496b3,enum_uniform_random,0,ok,2.2889692910248414,2.303224666044116,0.09173328937608176,0.0,0.0,0.1,False,False,False,2.288926250010263,"[{'threshold': 0.1, 'n_candidates_enumerated': 960, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",960.0,1.0,,
hard,10000,6,0.014255375019274652,a5c9b2a78b0f35a4b5210b5ed08163405dfbc4adc7c267eac15819a1e20496b3,enum_uniform_random,1,ok,2.28895195905352,2.3032073340727948,0.09173328937608176,0.0,0.0,0.1,False,False,False,2.288926250010263,"[{'threshold': 0.1, 'n_candidates_enumerated': 960, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",960.0,1.0,,
hard,10000,6,0.014255375019274652,a5c9b2a78b0f35a4b5210b5ed08163405dfbc4adc7c267eac15819a1e20496b3,enum_uniform_random,2,ok,2.2889427090412937,2.3031980840605684,0.09173328937608176,0.0,0.0,0.1,False,False,False,2.288926250010263,"[{'threshold': 0.1, 'n_candidates_enumerated': 960, 'enumeration_cap_hit': False, 'enumeration_timed_out': False}]",960.0,1.0,,
