regime,n,seed,method,ari,exact,partition_exact,ica_runtime_sec,selection_runtime_sec,total_runtime_sec,cap_hit,timed_out,completed,selection_share,selection_over_ica,selection_dominates
unstable,10000,22,arbitrary_control,0.0,0.0,0.0,0.01561529195168987,2.6033201720565557e-05,0.015641325153410435,False,False,True,0.001664385943341206,0.0016671607422458902,False
unstable,10000,22,enum_first_stable,1.0,1.0,1.0,0.01561529195168987,0.042120917001739144,0.057736208953429013,False,False,True,0.7295407468771387,2.6974146325314696,True
unstable,10000,22,enum_uniform_random,0.8343393695506371,0.2,0.8,0.01561529195168987,0.04213272500783205,0.05774801695952192,False,False,True,0.7295960489407749,2.6981708147488397,True
unstable,10000,22,ours,1.0,1.0,1.0,0.01561529195168987,3.2917014323174953e-05,0.015648208966013044,False,False,True,0.0021035643372777487,0.0021079986480568307,False
unstable,10000,23,arbitrary_control,0.0,0.0,0.0,0.01306216698139906,3.471700474619865e-05,0.013096883986145258,False,False,True,0.0026507835591217405,0.00265782888824165,False
unstable,10000,23,enum_first_stable,0.816469451823231,0.0,0.0,0.01306216698139906,11.40121487394208,11.41427704092348,False,False,True,0.9988556290569637,872.8425298939887,True
unstable,10000,23,enum_uniform_random,0.8898816710939386,0.4,0.4,0.01306216698139906,11.401212683157064,11.414274850138463,False,False,True,0.9988556288373203,872.8423621741135,True
unstable,10000,23,ours,1.0,1.0,1.0,0.01306216698139906,3.804103471338749e-05,0.013100208016112447,False,False,True,0.002903849669150243,0.002912306569618895,False
unstable,10000,24,arbitrary_control,0.0,0.0,0.0,0.014187916996888816,3.19245969876647e-05,0.014219841593876481,False,False,True,0.0022450740239900037,0.002250125722800976,False
unstable,10000,24,enum_first_stable,1.0,1.0,1.0,0.014187916996888816,41.50705879199086,41.521246708987746,False,False,True,0.9996582974230921,2925.5216816600137,True
unstable,10000,24,enum_uniform_random,1.0,0.2,1.0,0.014187916996888816,41.50707107518101,41.5212589921779,False,False,True,0.9996582975241777,2925.522547410085,True
unstable,10000,24,ours,1.0,1.0,1.0,0.014187916996888816,6.96660135872662e-05,0.014257583010476083,False,False,True,0.004886242888158359,0.004910235491407432,False
unstable,10000,25,arbitrary_control,0.0,0.0,0.0,0.017861375003121793,3.0383607372641565e-05,0.017891758610494433,False,False,True,0.0016981901016046585,0.0017010788568814633,False
unstable,10000,25,enum_first_stable,0.878795611125287,0.0,0.0,0.017861375003121793,9.107322792056948,9.12518416706007,False,False,True,0.998042628545778,509.8892325179433,True
unstable,10000,25,enum_uniform_random,0.8787956111252871,0.0,0.0,0.017861375003121793,9.107332441827747,9.125193816830869,False,False,True,0.9980426306156722,509.8897727770665,True
unstable,10000,25,ours,0.878795611125287,0.0,0.0,0.017861375003121793,4.600000102072954e-05,0.017907375004142523,False,False,True,0.0025687740950356116,0.002575389689354247,False
unstable,10000,26,arbitrary_control,0.0,0.0,0.0,0.01590266596758738,3.5325204953551294e-05,0.01593799117254093,False,False,True,0.0022164151411008426,0.002221338549495455,False
unstable,10000,26,enum_first_stable,1.0,1.0,1.0,0.01590266596758738,0.3534344169893302,0.3693370829569176,False,False,True,0.9569426772955739,22.22485322333349,True
unstable,10000,26,enum_uniform_random,1.0,1.0,1.0,0.01590266596758738,0.35344445881200953,0.3693471247795969,False,False,True,0.9569438479395851,22.225484678631602,True
unstable,10000,26,ours,1.0,1.0,1.0,0.01590266596758738,3.98330157622695e-05,0.01594249898334965,False,False,True,0.002498542782023766,0.0025048011348195744,False
unstable,10000,27,arbitrary_control,0.0,0.0,0.0,0.013050084002315998,2.984160091727972e-05,0.013079925603233278,False,False,True,0.002281480936703727,0.0022866979945863745,False
unstable,10000,27,enum_first_stable,1.0,1.0,1.0,0.013050084002315998,2.194755584059749,2.207805668062065,False,False,True,0.9940891156359015,168.17942196159393,True
unstable,10000,27,enum_uniform_random,1.0,1.0,1.0,0.013050084002315998,2.1947670584311707,2.2078171424334867,False,False,True,0.9940891463556932,168.1803012181121,True
unstable,10000,27,ours,1.0,1.0,1.0,0.013050084002315998,4.758400609716773e-05,0.013097668008413166,False,False,True,0.0036330136072011128,0.003646260521290361,False
unstable,10000,28,arbitrary_control,0.0,0.0,0.0,0.015935915987938643,2.99665960483253e-05,0.015965882583986967,False,False,True,0.001876914470007464,0.0018804439023778743,False
unstable,10000,28,enum_first_stable,1.0,0.0,1.0,0.015935915987938643,16.528639917029068,16.544575833017007,False,False,True,0.9990367890873252,1037.19421773678,True
unstable,10000,28,enum_uniform_random,1.0,0.0,1.0,0.015935915987938643,16.52865257539088,16.544588491378818,False,False,True,0.9990367898242835,1037.1950120658805,True
unstable,10000,28,ours,1.0,0.0,1.0,0.015935915987938643,4.270800855010748e-05,0.01597862399648875,False,False,True,0.002672821424391263,0.0026799845444988373,False
unstable,10000,29,arbitrary_control,0.0,0.0,0.0,0.018054000043775886,3.5600003320723773e-05,0.01808960004709661,False,False,True,0.0019679817811360397,0.0019718623703558077,False
unstable,10000,29,enum_first_stable,0.893048128342246,0.0,0.0,0.018054000043775886,0.11754783301148564,0.13560183305526152,False,False,True,0.8668602065547419,6.51090244413787,True
unstable,10000,29,enum_uniform_random,0.8790566556387576,0.2,0.2,0.018054000043775886,0.11755778319202363,0.13561178323579953,False,False,True,0.8668699753591182,6.511453578540987,True
unstable,10000,29,ours,1.0,1.0,1.0,0.018054000043775886,3.445800393819809e-05,0.018088458047714084,False,False,True,0.0019049718802622148,0.0019086077243074717,False
unstable,50000,0,arbitrary_control,0.002197802197802198,0.0,0.0,0.06508025003131479,2.9700202867388724e-05,0.06510995023418217,False,False,True,0.0004561545932774553,0.0004563627652490244,False
unstable,50000,0,enum_first_stable,1.0,1.0,1.0,0.06508025003131479,10.833013665978797,10.898093916010112,False,False,True,0.9940282905861448,166.45623919339977,True
unstable,50000,0,enum_uniform_random,1.0,1.0,1.0,0.06508025003131479,10.833027473976836,10.89810772400815,False,False,True,0.994028298152353,166.45645136219187,True
unstable,50000,0,ours,1.0,1.0,1.0,0.06508025003131479,5.1708018872886896e-05,0.06513195805018768,False,False,True,0.0007938962748984621,0.0007945270469613508,False
unstable,50000,1,arbitrary_control,0.0,0.0,0.0,0.06667766702594236,2.5141413789242507e-05,0.0667028084397316,False,False,True,0.0003769168701788424,0.0003770589900732536,False
unstable,50000,1,enum_first_stable,1.0,1.0,1.0,0.06667766702594236,0.6112302909605205,0.6779079579864629,False,False,True,0.9016420057613871,9.166941769613931,True
unstable,50000,1,enum_uniform_random,1.0,1.0,1.0,0.06667766702594236,0.6112405741470865,0.6779182411730289,False,False,True,0.901643497731279,9.167095991964903,True
unstable,50000,1,ours,1.0,1.0,1.0,0.06667766702594236,3.720802487805486e-05,0.06671487505082041,False,False,True,0.0005577170735868342,0.0005580282954947762,False
unstable,50000,2,arbitrary_control,0.0,0.0,0.0,0.07062399998540059,3.0441593844443558e-05,0.07065444157924503,False,False,True,0.00043085180724697537,0.00043103752054169194,False
unstable,50000,2,enum_first_stable,1.0,1.0,1.0,0.07062399998540059,0.015433125023264438,0.08605712500866503,False,False,True,0.1793358193375678,0.2185252184307711,False
unstable,50000,2,enum_uniform_random,1.0,1.0,1.0,0.07062399998540059,0.015441992005798965,0.08606599199119955,False,False,True,0.1794203685862117,0.21865077040370326,False
unstable,50000,2,ours,1.0,1.0,1.0,0.07062399998540059,3.662501694634557e-05,0.07066062500234693,False,False,True,0.0005183228558356099,0.0005185916537425903,False
unstable,50000,3,arbitrary_control,0.004878048780487805,0.0,0.0,0.06668574997456744,2.7025188319385052e-05,0.06671277516288683,False,False,True,0.0004050976481401048,0.0004052618187497613,False
unstable,50000,3,enum_first_stable,1.0,1.0,1.0,0.06668574997456744,0.1978399590589106,0.26452570903347805,False,False,True,0.7479044656255783,2.966750154783633,True
unstable,50000,3,enum_uniform_random,1.0,1.0,1.0,0.06668574997456744,0.19784462540410458,0.264530375378672,False,False,True,0.7479089126187962,2.9668201299311834,True
unstable,50000,3,ours,1.0,1.0,1.0,0.06668574997456744,5.158304702490568e-05,0.06673733302159235,False,False,True,0.0007729264069964615,0.0007735242843422827,False
unstable,50000,4,arbitrary_control,0.0,0.0,0.0,0.058661250048317015,2.9808387625962496e-05,0.05869105843594298,False,False,True,0.0005078863530548896,0.0005081444326776274,False
unstable,50000,4,enum_first_stable,1.0,1.0,1.0,0.058661250048317015,18.468119582976215,18.52678083302453,False,False,True,0.9968337051872632,314.82656042557454,True
